DATE (MM/DD/YYYY),CST,Global Horizontal [W/m^2],Direct Normal [W/m^2],Diffuse Horizontal [W/m^2],Downwelling IR [W/m^2],Pyrgeometer Net [W/m^2],Global (stdev) [W/m^2],Direct (stdev) [W/m^2],Diffuse (stdev) [W/m^2],IR (stdev) [W/m^2],Net (stdev) [W/m^2]
09/11/2024,00:00,-1.68845,-0.381888,-2.20805,403.5,-46,0,0,0.326,0.03,0
09/11/2024,00:01,-1.68845,-0.381888,-2.10178,403.4,-45.98,0,0,0.316,0.104,0.078
09/11/2024,00:02,-1.68845,-0.381887,-2.18443,403.2,-46,0,0,0.304,0.03,0
09/11/2024,00:03,-1.68845,-0.381887,-2.32612,403.2,-46,0,0,0.27,0.046,0.046
09/11/2024,00:04,-1.68844,-0.381887,-2.26708,403.3,-45.91,0,0,0.283,0.163,0.183
09/11/2024,00:05,-1.68844,-0.381887,-2.33793,403.1,-46,0,0,0.252,0.098,0
09/11/2024,00:06,-1.68844,-0.381887,-2.42058,403,-46,0,0,0.132,0,0
09/11/2024,00:07,-1.68845,-0.381887,-2.32612,403,-46,0,0,0.236,0,0
09/11/2024,00:08,-1.68845,-0.381889,-2.30252,402.9,-46,0,0,0.286,0.087,0
09/11/2024,00:09,-1.68846,-0.381889,-2.32614,402.7,-46,0,0,0.236,0.03,0
09/11/2024,00:10,-1.68846,-0.38189,-2.44422,402.6,-46,0,0,0.106,0.091,0
09/11/2024,00:11,-1.68846,-0.381891,-2.24349,402.5,-46,0,0,0.308,0,0
09/11/2024,00:12,-1.68846,-0.381891,-2.36157,402.4,-46,0,0,0.248,0.096,0
09/11/2024,00:13,-1.68846,-0.381891,-2.27892,402.2,-46,0,0,0.254,0,0
09/11/2024,00:14,-1.68846,-0.381891,-2.23168,402.1,-46.12,0,0,0.305,0.186,0.186
09/11/2024,00:15,-1.68846,-0.381891,-2.26711,402,-46.19,0,0,0.283,0.15,0.118
09/11/2024,00:16,-1.68846,-0.381891,-2.26711,401.8,-46.27,0,0,0.268,0.184,0.194
09/11/2024,00:17,-1.68846,-0.381891,-2.34976,401.8,-46.26,0,0,0.25,0.206,0.211
09/11/2024,00:18,-1.68846,-0.381891,-2.18445,402,-46,0,0,0.318,0,0
09/11/2024,00:19,-1.68846,-0.38189,-2.24349,402,-46,0,0,0.308,0,0
09/11/2024,00:20,-1.68846,-0.38189,-2.31433,401.8,-46.04,0,0,0.237,0.137,0.088
09/11/2024,00:21,-1.68846,-0.38189,-2.27891,401.8,-46,0,0,0.27,0.072,0
09/11/2024,00:22,-1.68846,-0.38189,-2.30252,401.8,-46.01,0,0,0.219,0.061,0.046
09/11/2024,00:23,-1.68846,-0.381889,-2.30252,401.6,-46.18,0,0,0.255,0.189,0.181
09/11/2024,00:24,-1.68846,-0.381889,-2.30252,401.4,-46.35,0,0,0.238,0.193,0.193
09/11/2024,00:25,-1.68845,-0.381889,-2.29071,401.7,-46,0,0,0.27,0.032,0
09/11/2024,00:26,-1.68845,-0.381889,-2.30252,401.5,-46.12,0,0,0.255,0.185,0.129
09/11/2024,00:27,-1.68845,-0.381888,-2.30251,401.4,-46.1,0,0,0.271,0.127,0.125
09/11/2024,00:28,-1.68845,-0.381888,-2.33794,401.2,-46.08,0,0,0.216,0.108,0.118
09/11/2024,00:29,-1.68846,-0.38189,-2.27891,401.2,-46,0,0,0.285,0.061,0
09/11/2024,00:30,-1.68846,-0.381891,-2.33795,401.2,-46,0,0,0.252,0.022,0
09/11/2024,00:31,-1.68848,-0.381894,-2.27893,401.2,-46,0,0,0.27,0,0
09/11/2024,00:32,-1.68848,-0.381895,-2.29074,401.1,-46,0,0,0.27,0.104,0
09/11/2024,00:33,-1.68849,-0.381896,-2.27895,401.1,-45.86,0,0,0.27,0.204,0.208
09/11/2024,00:34,-1.68849,-0.381897,-2.21991,401.2,-45.74,0,0,0.316,0.206,0.206
09/11/2024,00:35,-1.6885,-0.3819,-2.09004,401.3,-45.56,0,0,0.321,0.163,0.163
09/11/2024,00:36,-1.68851,-0.381901,-2.04281,401.4,-45.5,0,0,0.299,0.052,0.046
09/11/2024,00:37,-1.68852,-0.381904,-2.11368,401.2,-45.62,0,0,0.336,0.173,0.173
09/11/2024,00:38,-1.68853,-0.381906,-2.16092,401.3,-45.57,0,0,0.294,0.112,0.118
09/11/2024,00:39,-1.68854,-0.381908,-2.21998,401.3,-45.52,0,0,0.288,0.128,0.088
09/11/2024,00:40,-1.68855,-0.38191,-2.0901,401.2,-45.57,0,0,0.334,0.11,0.119
09/11/2024,00:41,-1.68856,-0.381913,-2.25543,401.1,-45.67,0,0,0.296,0.123,0.118
