DATE (MM/DD/YYYY),CST,Global Horizontal [W/m^2],Direct Normal [W/m^2],Diffuse Horizontal [W/m^2],Downwelling IR [W/m^2],Pyrgeometer Net [W/m^2],Global (stdev) [W/m^2],Direct (stdev) [W/m^2],Diffuse (stdev) [W/m^2],IR (stdev) [W/m^2],Net (stdev) [W/m^2]
9/3/2024,00:00,-1.01318,-0.381929,-1.77135,444.1,-5.17,0,0,0,0,0
9/3/2024,00:01,-1.01318,-0.381928,-1.77135,444.1,-5.17,0,0,0,0.005,0
9/3/2024,00:02,-1.01317,-0.381928,-1.77135,444.1,-5.17,0,0,0,0.044,0
9/3/2024,00:03,-1.01317,-0.381926,-1.77134,444.3,-4.963,0,0,0,0.186,0.182
9/3/2024,00:04,-1.01317,-0.381926,-1.77134,444.4,-4.808,0,0,0,0.158,0.143
9/3/2024,00:05,-1.01316,-0.381923,-1.77132,444.6,-4.653,0,0,0,0.058,0
9/3/2024,00:06,-1.01316,-0.381922,-1.77132,444.3,-4.98,0,0,0,0.244,0.24
9/3/2024,00:07,-1.01315,-0.381919,-1.77131,444.1,-5.169,0,0,0,0,0
9/3/2024,00:08,-1.01315,-0.381919,-1.77130,444,-5.376,0,0,0,0.284,0.235
9/3/2024,00:09,-1.01314,-0.381915,-1.77129,443.8,-5.678,0,0,0,0.083,0.046
9/3/2024,00:10,-1.01314,-0.381915,-1.77129,444,-5.686,0,0,0,0.102,0
9/3/2024,00:11,-1.01314,-0.381914,-1.77129,444.2,-5.686,0,0,0,0.095,0
9/3/2024,00:12,-1.01314,-0.381914,-1.77128,444.3,-5.652,0,0,0,0.098,0.088
9/3/2024,00:13,-1.01313,-0.381913,-1.77128,444.6,-5.428,0,0,0,0.259,0.25
9/3/2024,00:14,-1.01313,-0.381912,-1.77127,444.7,-5.187,0,0,0,0.098,0.064
9/3/2024,00:15,-1.01313,-0.381910,-1.77127,444.7,-5.169,0,0,0,0.078,0
9/3/2024,00:16,-1.01313,-0.381910,-1.77126,444.7,-5.143,0,0,0,0.129,0.078
9/3/2024,00:17,-1.01312,-0.381908,-1.77126,444.6,-5.169,0,0,0,0.056,0
9/3/2024,00:18,-1.01312,-0.381907,-1.77125,444.6,-5.169,0,0,0,0.055,0
9/3/2024,00:19,-1.01312,-0.381905,-1.77124,444.8,-5.169,0,0,0,0.087,0
9/3/2024,00:20,-1.01311,-0.381904,-1.77124,444.8,-5.152,0,0,0,0.067,0.064
9/3/2024,00:21,-1.01311,-0.381903,-1.77123,444.9,-5.212,0,0,0,0.161,0.096
9/3/2024,00:22,-1.01311,-0.381903,-1.77123,444.8,-5.402,0,0,0,0.241,0.253
9/3/2024,00:23,-1.01311,-0.381903,-1.77123,445,-5.445,0,0,0,0.26,0.24
9/3/2024,00:24,-1.01311,-0.381903,-1.77123,445.4,-5.186,0,0,0,0.109,0.064
9/3/2024,00:25,-1.01311,-0.381903,-1.77123,445.3,-5.367,0,0,0,0.227,0.238
9/3/2024,00:26,-1.01311,-0.381904,-1.77124,445.5,-5.178,0,0,0,0.268,0.263
9/3/2024,00:27,-1.01311,-0.381904,-1.77124,445.7,-4.937,0,0,0,0.229,0.225
9/3/2024,00:28,-1.01311,-0.381904,-1.77124,445.7,-4.782,0,0,0,0.168,0.145
9/3/2024,00:29,-1.01311,-0.381905,-1.77124,445.3,-5.169,0,0,0,0.064,0
9/3/2024,00:30,-1.01312,-0.381906,-1.77125,445,-5.264,0,0,0,0.199,0.156
9/3/2024,00:31,-1.01312,-0.381906,-1.77125,444.4,-5.79,0,0,0,0.226,0.207
9/3/2024,00:32,-1.01312,-0.381907,-1.77125,444,-6.281,0,0,0,0.183,0.178
9/3/2024,00:33,-1.01312,-0.381907,-1.77125,443.6,-6.582,0,0,0,0.229,0.229
9/3/2024,00:34,-1.01312,-0.381909,-1.77126,443.6,-6.798,0,0,0,0.177,0.165
9/3/2024,00:35,-1.01313,-0.381909,-1.77126,443.7,-6.72,0,0,0,0.03,0
9/3/2024,00:36,-1.01313,-0.381912,-1.77127,443.6,-6.849,0,0,0,0.223,0.219
9/3/2024,00:37,-1.01313,-0.381912,-1.77127,443.5,-7.177,0,0,0,0.179,0.159
9/3/2024,00:38,-1.01313,-0.381912,-1.77128,441.8,-8.92,0,0,0,0.493,0.494
9/3/2024,00:39,-1.01313,-0.381912,-1.77128,441.1,-9.62,0,0,0,0.245,0.247
9/3/2024,00:40,-1.01313,-0.381912,-1.77127,440.9,-9.81,0,0,0,0.046,0.046
9/3/2024,00:41,-1.01313,-0.381912,-1.77127,440.9,-9.82,0,0,0,0.036,0
9/3/2024,00:42,-1.01313,-0.381910,-1.77127,440.9,-9.8,0,0,0,0.108,0.102
9/3/2024,00:43,-1.01313,-0.381911,-1.77127,440.9,-9.81,0,0,0,0.047,0.046
9/3/2024,00:44,-1.01313,-0.381911,-1.77127,440.9,-9.83,0,0,0,0.046,0.046
9/3/2024,00:45,-1.01313,-0.381911,-1.77127,440.8,-9.82,0,0,0,0.073,0
9/3/2024,00:46,-1.01313,-0.381910,-1.77127,440.7,-9.82,0,0,0,0.045,0
9/3/2024,00:47,-1.01313,-0.381910,-1.77126,440.6,-9.85,0,0,0,0.09,0.078
9/3/2024,00:48,-1.01313,-0.381909,-1.77126,440,-10.38,0,0,0,0.186,0.201
9/3/2024,00:49,-1.01312,-0.381908,-1.77126,439.7,-10.8,0,0,0,0.142,0.14
9/3/2024,00:50,-1.01312,-0.381907,-1.77125,440,-10.55,0,0,0,0.24,0.244
9/3/2024,00:51,-1.01312,-0.381906,-1.77125,439.7,-10.75,0,0,0,0.194,0.184
9/3/2024,00:52,-1.01311,-0.381905,-1.77124,439.6,-10.91,0,0,0,0.123,0.123
9/3/2024,00:53,-1.01311,-0.381904,-1.77124,439.5,-10.93,0,0,0,0.175,0.178
9/3/2024,00:54,-1.01311,-0.381903,-1.77123,439.6,-10.84,0,0,0,0.371,0.371
9/3/2024,00:55,-1.01310,-0.381902,-1.77123,439.7,-10.75,0,0,0,0.198,0.196
9/3/2024,00:56,-1.01310,-0.381901,-1.77122,440,-10.45,0,0,0,0.207,0.208
9/3/2024,00:57,-1.02436,-0.381899,-1.77122,439.9,-10.34,0.061,0,0,0.086,0
9/3/2024,00:58,-1.24949,-0.381899,-1.77121,439.9,-10.34,0.198,0,0,0,0
9/3/2024,00:59,-1.14817,-0.381897,-1.77121,439.1,-11.1,0.224,0,0,0.444,0.442
9/3/2024,01:00,-1.01309,-0.381897,-1.77120,438.3,-11.89,0,0,0,0,0
9/3/2024,01:01,-1.01310,-0.381898,-1.77121,438.3,-11.88,0,0,0,0.046,0.046
9/3/2024,01:02,-1.01310,-0.381898,-1.77121,438.8,-11.42,0,0,0,0.126,0.117
9/3/2024,01:03,-1.01310,-0.381898,-1.77121,438.6,-11.37,0,0,0,0.054,0
9/3/2024,01:04,-1.01310,-0.381898,-1.77121,438.6,-11.37,0,0,0,0,0
9/3/2024,01:05,-1.02435,-0.381898,-1.77121,438.8,-11.15,0.061,0,0,0.219,0.219
9/3/2024,01:06,-1.01310,-0.381898,-1.77121,439.5,-10.48,0,0,0,0.391,0.393
9/3/2024,01:07,-1.01309,-0.381897,-1.77120,440.9,-9.05,0,0,0,0.441,0.443
