DATE (MM/DD/YYYY),CST,Global Horizontal [W/m^2],Direct Normal [W/m^2],Diffuse Horizontal [W/m^2],Downwelling IR [W/m^2],Pyrgeometer Net [W/m^2],Global (stdev) [W/m^2],Direct (stdev) [W/m^2],Diffuse (stdev) [W/m^2],IR (stdev) [W/m^2],Net (stdev) [W/m^2]
9/1/2024,00:00,-1.17021,-0.381741,-1.77048,431.2,-27.2,0.209,0,0,0.101,0.136
9/1/2024,00:01,-1.18147,-0.381744,-1.77049,431.1,-27.22,0.258,0,0,0.196,0.182
9/1/2024,00:02,-1.08020,-0.381746,-1.77050,431.2,-26.88,0.135,0,0,0.057,0.046
9/1/2024,00:03,-1.01270,-0.381747,-1.77051,431.2,-26.87,0,0,0,0.021,0
9/1/2024,00:04,-1.0127,-0.381749,-1.77052,431.2,-26.87,0,0,0,0.065,0
9/1/2024,00:05,-1.01270,-0.38175,-1.77052,431,-26.89,0,0,0,0.152,0.078
9/1/2024,00:06,-1.01271,-0.381753,-1.77054,430.4,-27.38,0,0,0,0.056,0.046
9/1/2024,00:07,-1.01272,-0.381754,-1.77054,430.4,-27.39,0,0,0,0.021,0
9/1/2024,00:08,-1.01272,-0.381757,-1.77055,430.3,-27.39,0,0,0,0.105,0
9/1/2024,00:09,-1.01272,-0.381757,-1.77056,430.2,-27.39,0,0,0,0.036,0
9/1/2024,00:10,-1.01273,-0.381761,-1.77057,430.1,-27.39,0,0,0,0.007,0
9/1/2024,00:11,-1.01273,-0.381762,-1.77058,430.1,-27.39,0,0,0,0,0
9/1/2024,00:12,-1.01275,-0.381766,-1.77060,430.1,-27.39,0,0,0,0.041,0
9/1/2024,00:13,-1.01275,-0.381767,-1.77060,430.1,-27.39,0,0,0,0.08,0
9/1/2024,00:14,-1.01276,-0.381772,-1.77062,430,-27.39,0,0,0,0.081,0
9/1/2024,00:15,-1.01276,-0.381772,-1.77063,429.9,-27.39,0,0,0,0.066,0
9/1/2024,00:16,-1.01278,-0.381778,-1.77065,430,-27.39,0,0,0,0.089,0
9/1/2024,00:17,-1.01278,-0.381778,-1.77065,430,-27.39,0,0,0,0.089,0
9/1/2024,00:18,-1.01279,-0.381783,-1.77068,430,-27.39,0,0,0,0.079,0
9/1/2024,00:19,-1.01279,-0.381784,-1.77068,430.1,-27.35,0,0,0,0.103,0.096
9/1/2024,00:20,-1.01280,-0.381788,-1.77070,430.6,-26.92,0,0,0,0.103,0.103
9/1/2024,00:21,-1.01281,-0.381789,-1.77070,430.7,-26.81,0,0,0,0.101,0.109
9/1/2024,00:22,-1.01282,-0.381792,-1.77072,431.3,-26.19,0,0,0,0.236,0.236
9/1/2024,00:23,-1.01282,-0.381793,-1.77072,431.8,-25.67,0,0,0,0.216,0.226
9/1/2024,00:24,-1.01283,-0.381796,-1.77074,432.7,-24.72,0,0,0,0.234,0.234
