DATE (MM/DD/YYYY),CST,Global Horizontal [W/m^2],Direct Normal [W/m^2],Diffuse Horizontal [W/m^2],Downwelling IR [W/m^2],Pyrgeometer Net [W/m^2],Global (stdev) [W/m^2],Direct (stdev) [W/m^2],Diffuse (stdev) [W/m^2],IR (stdev) [W/m^2],Net (stdev) [W/m^2]
09/12/2024,00:00,-1.42951,-0.381876,-1.90099,410.5,-40.45,0.298,0,0.25,0.199,0.197
09/12/2024,00:01,-1.57584,-0.381876,-2.00726,410.2,-40.78,0.219,0,0.308,0.103,0.103
09/12/2024,00:02,-1.27193,-0.381877,-1.78292,410.5,-40.43,0.298,0,0.064,0.157,0.159
09/12/2024,00:03,-1.49705,-0.381878,-1.79473,410.4,-40.52,0.257,0,0.088,0.128,0.128
09/12/2024,00:04,-1.38449,-0.381879,-1.92462,410.2,-40.7,0.306,0,0.236,0.16,0.16
09/12/2024,00:05,-1.45203,-0.381879,-1.93643,410.1,-40.83,0.291,0,0.27,0,0
09/12/2024,00:06,-1.32822,-0.38188,-1.80655,410.1,-40.83,0.288,0,0.106,0.001,0
09/12/2024,00:07,-1.41827,-0.38188,-2.08993,410,-40.9,0.281,0,0.321,0.114,0.114
09/12/2024,00:08,-1.40701,-0.381881,-2.11355,409.7,-41.17,0.303,0,0.31,0.254,0.223
09/12/2024,00:09,-1.45204,-0.381881,-1.98366,409.5,-41.32,0.278,0,0.312,0.133,0.088
09/12/2024,00:10,-1.51958,-0.381881,-1.86559,409.4,-41.3,0.243,0,0.223,0.103,0.103
09/12/2024,00:11,-1.35074,-0.381881,-1.78294,409.4,-41.32,0.289,0,0.064,0.088,0.088
09/12/2024,00:12,-1.59837,-0.381882,-2.04271,409.3,-41.34,0.194,0,0.326,0.101,0.046
09/12/2024,00:13,-1.41827,-0.381882,-1.85379,409.2,-41.27,0.307,0,0.218,0.137,0.139
09/12/2024,00:14,-1.63214,-0.381882,-1.79475,409.1,-41.35,0.153,0,0.127,0,0
09/12/2024,00:15,-1.62089,-0.381883,-1.94825,409.1,-41.35,0.135,0,0.271,0.001,0
09/12/2024,00:16,-1.51958,-0.381883,-1.88922,409.1,-41.35,0.243,0,0.19,0.03,0
09/12/2024,00:17,-1.58712,-0.381883,-2.07814,409.1,-41.35,0.198,0,0.339,0.03,0
09/12/2024,00:18,-1.42954,-0.381883,-1.88922,409.1,-41.35,0.298,0,0.248,0.045,0
09/12/2024,00:19,-1.41828,-0.381883,-1.8656,409.2,-41.35,0.237,0,0.181,0.086,0
09/12/2024,00:20,-1.45205,-0.381883,-1.88922,409.3,-41.35,0.278,0,0.19,0.022,0
09/12/2024,00:21,-1.37326,-0.381884,-1.90103,409.2,-41.54,0.275,0,0.214,0.12,0.132
09/12/2024,00:22,-1.51959,-0.381884,-2.10176,409,-41.7,0.227,0,0.329,0.175,0.168
09/12/2024,00:23,-1.51959,-0.381884,-1.88922,408.9,-41.83,0.272,0,0.23,0.102,0.088
