DATE (MM/DD/YYYY),CST,Global Horizontal [W/m^2],Direct Normal [W/m^2],Diffuse Horizontal [W/m^2],Downwelling IR [W/m^2],Pyrgeometer Net [W/m^2],Global (stdev) [W/m^2],Direct (stdev) [W/m^2],Diffuse (stdev) [W/m^2],IR (stdev) [W/m^2],Net (stdev) [W/m^2]
9/5/2024,00:00,-1.01313,-0.381911,-1.77127,446.2,-1.809,0,0,0,0.022,0
9/5/2024,00:01,-1.01313,-0.381912,-1.77127,446.3,-1.809,0,0,0,0.09,0
9/5/2024,00:02,-1.01314,-0.381913,-1.77128,446.5,-1.809,0,0,0,0.042,0
9/5/2024,00:03,-1.01314,-0.381913,-1.77128,446.5,-1.809,0,0,0,0.003,0
9/5/2024,00:04,-1.01314,-0.381913,-1.77128,446.5,-1.809,0,0,0,0,0
9/5/2024,00:05,-1.01313,-0.381913,-1.77128,446.6,-1.809,0,0,0,0.077,0
9/5/2024,00:06,-1.01313,-0.381912,-1.77127,446.5,-1.999,0,0,0,0.162,0.114
9/5/2024,00:07,-1.01313,-0.381911,-1.75946,446.5,-2.068,0,0,0.064,0.088,0
9/5/2024,00:08,-1.01313,-0.381910,-1.73584,446.3,-2.137,0,0,0.106,0.135,0.132
9/5/2024,00:09,-1.01313,-0.381909,-1.68860,445.9,-2.585,0,0,0.15,0.064,0
9/5/2024,00:10,-1.01312,-0.381908,-1.75945,445.9,-2.585,0,0,0.064,0.054,0
9/5/2024,00:11,-1.01312,-0.381907,-1.75944,445.9,-2.585,0,0,0.064,0.065,0
9/5/2024,00:12,-1.01312,-0.381906,-1.75944,446,-2.542,0,0,0.064,0.121,0.117
9/5/2024,00:13,-1.01311,-0.381904,-1.77124,446.5,-2.085,0,0,0,0.068,0.064
9/5/2024,00:14,-1.01311,-0.381903,-1.77123,446.5,-2.068,0,0,0,0,0
9/5/2024,00:15,-1.01311,-0.381902,-1.77123,446.5,-2.068,0,0,0,0.01,0
9/5/2024,00:16,-1.01310,-0.381901,-1.77122,446.7,-1.93,0,0,0,0.173,0.129
9/5/2024,00:17,-1.0131,-0.381900,-1.75941,447.1,-1.714,0,0,0.064,0.213,0.183
9/5/2024,00:18,-1.01310,-0.381899,-1.73579,447.6,-1.266,0,0,0.106,0.078,0.078
9/5/2024,00:19,-1.0131,-0.381900,-1.77122,448,-0.784,0,0,0,0.047,0.046
9/5/2024,00:20,-1.01310,-0.381900,-1.72399,448.1,-0.75,0,0,0.12,0.105,0.102
9/5/2024,00:21,-1.0131,-0.381900,-1.57048,448.1,-0.775,0,0,0.27,0.01,0
9/5/2024,00:22,-1.0131,-0.381900,-1.49963,448.2,-0.775,0,0,0.299,0.097,0
