DATE (MM/DD/YYYY),CST,Global Horizontal [W/m^2],Direct Normal [W/m^2],Diffuse Horizontal [W/m^2],Downwelling IR [W/m^2],Pyrgeometer Net [W/m^2],Global (stdev) [W/m^2],Direct (stdev) [W/m^2],Diffuse (stdev) [W/m^2],IR (stdev) [W/m^2],Net (stdev) [W/m^2]
9/15/2024,00:00,-1.68812,-0.381814,-2.45553,440,-22.41,0,0,0.088,0.136,0.132
9/15/2024,00:01,-1.68812,-0.381814,-2.45554,440.2,-22.23,0,0,0.088,0.088,0.046
9/15/2024,00:02,-1.68813,-0.381815,-2.40832,440.3,-22.22,0,0,0.169,0.088,0
9/15/2024,00:03,-1.60935,-0.381815,-2.14860,440.8,-21.83,0.143,0,0.302,0.172,0.16
9/15/2024,00:04,-1.32800,-0.381816,-1.85347,440.9,-21.71,0.173,0,0.198,0.062,0
9/15/2024,00:05,-1.23796,-0.381816,-1.78264,440.9,-21.71,0.266,0,0.064,0.066,0
9/15/2024,00:06,-1.13668,-0.381816,-1.77083,440.9,-21.6,0.204,0,0,0.092,0.127
9/15/2024,00:07,-1.02414,-0.381817,-1.77083,440.8,-21.62,0.061,0,0,0.153,0.122
9/15/2024,00:08,-1.02414,-0.381817,-1.77083,440.9,-21.56,0.061,0,0,0.135,0.128
9/15/2024,00:09,-1.02414,-0.381817,-1.77084,441,-21.34,0.061,0,0,0.115,0.127
9/15/2024,00:10,-1.02414,-0.381817,-1.77084,440.9,-21.39,0.061,0,0,0.118,0.109
9/15/2024,00:11,-1.01288,-0.381818,-1.77084,441.1,-21.24,0,0,0,0.1,0.103
9/15/2024,00:12,-1.01288,-0.381818,-1.77084,441.2,-21.19,0,0,0,0.068,0
9/15/2024,00:13,-1.01289,-0.381818,-1.77084,441.2,-21.19,0,0,0,0.05,0
9/15/2024,00:14,-1.01289,-0.381819,-1.77084,441.3,-21.19,0,0,0,0.083,0
9/15/2024,00:15,-1.01289,-0.381819,-1.77084,441.4,-21.19,0,0,0,0.021,0
9/15/2024,00:16,-1.01289,-0.381819,-1.77084,441.6,-20.99,0,0,0,0.155,0.172
9/15/2024,00:17,-1.01289,-0.381819,-1.77084,441.4,-21.15,0,0,0,0.1,0.096
9/15/2024,00:18,-1.01289,-0.381819,-1.77084,441.4,-21.15,0,0,0,0.086,0.088
9/15/2024,00:19,-1.01289,-0.381819,-1.77084,441.4,-21.19,0,0,0,0.021,0
9/15/2024,00:20,-1.01289,-0.381819,-1.77085,441.4,-21.19,0,0,0,0.054,0
9/15/2024,00:21,-1.01289,-0.381819,-1.77085,441.4,-21.19,0,0,0,0.04,0
9/15/2024,00:22,-1.01289,-0.381819,-1.77085,441.4,-21.19,0,0,0,0.007,0
9/15/2024,00:23,-1.01289,-0.381820,-1.77085,441.4,-21.19,0,0,0,0,0
9/15/2024,00:24,-1.01289,-0.381820,-1.77085,441.4,-21.19,0,0,0,0.005,0
9/15/2024,00:25,-1.01289,-0.381820,-1.77085,441.4,-21.2,0,0,0,0.052,0.046
9/15/2024,00:26,-1.01289,-0.381820,-1.77085,441.4,-21.19,0,0,0,0.044,0
9/15/2024,00:27,-1.01289,-0.381820,-1.77085,441.4,-21.19,0,0,0,0.05,0
9/15/2024,00:28,-1.01289,-0.381820,-1.77085,441.5,-21.07,0,0,0,0.161,0.16
9/15/2024,00:29,-1.01289,-0.38182,-1.77085,441.4,-21.15,0,0,0,0.088,0.088
9/15/2024,00:30,-1.01289,-0.38182,-1.77085,441.5,-21.05,0,0,0,0.148,0.145
9/15/2024,00:31,-1.01289,-0.381820,-1.77085,441.9,-20.74,0,0,0,0.132,0.132
9/15/2024,00:32,-1.01289,-0.381820,-1.77085,441.8,-20.78,0,0,0,0.125,0.127
9/15/2024,00:33,-1.01289,-0.381820,-1.77085,441.7,-20.95,0,0,0,0.159,0.148
9/15/2024,00:34,-1.01289,-0.381820,-1.77085,441.7,-20.91,0,0,0,0.202,0.21
9/15/2024,00:35,-1.01289,-0.381820,-1.77085,441.6,-21.01,0,0,0,0.169,0.178
9/15/2024,00:36,-1.01289,-0.381820,-1.77085,441.5,-21.03,0,0,0,0.135,0.141
9/15/2024,00:37,-1.01289,-0.381820,-1.77085,441.4,-21.19,0,0,0,0.077,0
9/15/2024,00:38,-1.01289,-0.381820,-1.77085,441.6,-21.1,0,0,0,0.149,0.168
9/15/2024,00:39,-1.01289,-0.381820,-1.77085,441.6,-21.19,0,0,0,0.03,0
9/15/2024,00:40,-1.01289,-0.381820,-1.77085,441.6,-21.17,0,0,0,0.052,0.064
9/15/2024,00:41,-1.01289,-0.381820,-1.77085,441.6,-21.08,0,0,0,0.176,0.159
9/15/2024,00:42,-1.01289,-0.381820,-1.77085,441.8,-20.82,0,0,0,0.16,0.197
9/15/2024,00:43,-1.01289,-0.381820,-1.77085,441.9,-20.69,0,0,0,0.092,0.064
9/15/2024,00:44,-1.01289,-0.381820,-1.77085,441.9,-20.82,0,0,0,0.134,0.128
9/15/2024,00:45,-1.01289,-0.381820,-1.77085,441.7,-21.07,0,0,0,0.129,0.129
9/15/2024,00:46,-1.01289,-0.381820,-1.77085,441.6,-21.19,0,0,0,0.092,0
9/15/2024,00:47,-1.01289,-0.381820,-1.77085,441.7,-21.11,0,0,0,0.135,0.136
9/15/2024,00:48,-1.01289,-0.381820,-1.77085,441.8,-21.19,0,0,0,0,0
9/15/2024,00:49,-1.01289,-0.381820,-1.77085,441.8,-21.19,0,0,0,0.013,0
9/15/2024,00:50,-1.01289,-0.381820,-1.77085,441.8,-21.19,0,0,0,0,0
9/15/2024,00:51,-1.01289,-0.381820,-1.77085,441.8,-21.21,0,0,0,0.084,0.078
9/15/2024,00:52,-1.01289,-0.381820,-1.77085,441.6,-21.34,0,0,0,0.127,0.127
9/15/2024,00:53,-1.01289,-0.381820,-1.77085,441.7,-21.28,0,0,0,0.122,0.122
9/15/2024,00:54,-1.01289,-0.381820,-1.77085,441.4,-21.56,0,0,0,0.17,0.172
9/15/2024,00:55,-1.01289,-0.381820,-1.77085,441.3,-21.71,0,0,0,0.013,0
9/15/2024,00:56,-1.01289,-0.381820,-1.77085,441.3,-21.71,0,0,0,0.029,0
9/15/2024,00:57,-1.01289,-0.381820,-1.77085,441.3,-21.71,0,0,0,0.047,0
9/15/2024,00:58,-1.01289,-0.381820,-1.77085,441.3,-21.71,0,0,0,0.056,0
9/15/2024,00:59,-1.01289,-0.381820,-1.77085,441.3,-21.71,0,0,0,0.048,0
9/15/2024,01:00,-1.01289,-0.381820,-1.77085,441.3,-21.71,0,0,0,0.04,0
9/15/2024,01:01,-1.01289,-0.381820,-1.77085,441.3,-21.71,0,0,0,0.051,0
9/15/2024,01:02,-1.01289,-0.381820,-1.77085,441.4,-21.71,0,0,0,0.078,0.046
9/15/2024,01:03,-1.01289,-0.381820,-1.77085,441.4,-21.75,0,0,0,0.125,0.096
9/15/2024,01:04,-1.01289,-0.381820,-1.77085,441.2,-21.81,0,0,0,0.096,0.127
9/15/2024,01:05,-1.01289,-0.381820,-1.77085,441.2,-21.71,0,0,0,0.047,0
9/15/2024,01:06,-1.01289,-0.381820,-1.77085,441.2,-21.71,0,0,0,0.029,0
9/15/2024,01:07,-1.01289,-0.381820,-1.77085,441.2,-21.72,0,0,0,0.069,0.064
9/15/2024,01:08,-1.33926,-0.381820,-1.77085,441.2,-21.71,0.282,0,0,0.003,0
9/15/2024,01:09,-1.68815,-0.381820,-1.77085,441.3,-21.61,0,0,0,0.102,0.141
9/15/2024,01:10,-1.68815,-0.381820,-1.77085,442.3,-20.46,0,0,0,0.353,0.36
9/15/2024,01:11,-1.68815,-0.381820,-1.77085,442.8,-19.78,0,0,0,0.154,0.145
