DATE (MM/DD/YYYY),CST,Global Horizontal [W/m^2],Direct Normal [W/m^2],Diffuse Horizontal [W/m^2],Downwelling IR [W/m^2],Pyrgeometer Net [W/m^2],Global (stdev) [W/m^2],Direct (stdev) [W/m^2],Diffuse (stdev) [W/m^2],IR (stdev) [W/m^2],Net (stdev) [W/m^2]
9/6/2024,00:00,-1.01304,-0.381875,-1.77110,431.9,-24.83,0,0,0,0.064,0.064
9/6/2024,00:01,-1.01304,-0.381875,-1.77110,431.4,-25.3,0,0,0,0.107,0.078
9/6/2024,00:02,-1.01304,-0.381877,-1.77111,430.7,-25.82,0,0,0,0.131,0.102
9/6/2024,00:03,-1.04681,-0.381877,-1.77111,429.9,-26.49,0.101,0,0,0.423,0.345
9/6/2024,00:04,-1.08058,-0.381878,-1.77111,429.1,-27.19,0.135,0,0,0.245,0.244
9/6/2024,00:05,-1.13686,-0.381878,-1.77112,428.2,-28.08,0.163,0,0,0.266,0.254
9/6/2024,00:06,-1.22691,-0.381879,-1.77112,427.3,-28.75,0.282,0,0,0.289,0.218
9/6/2024,00:07,-1.26068,-0.381879,-1.77112,426.5,-29.48,0.261,0,0,0.241,0.24
9/6/2024,00:08,-1.44078,-0.381880,-1.77112,425.7,-30.2,0.23,0,0,0.335,0.247
9/6/2024,00:09,-1.46329,-0.381880,-1.78293,424.7,-31.02,0.28,0,0.064,0.265,0.254
9/6/2024,00:10,-1.57586,-0.381880,-1.81836,423.8,-31.77,0.181,0,0.12,0.304,0.249
9/6/2024,00:11,-1.66590,-0.381881,-1.85378,423,-32.58,0.084,0,0.176,0.271,0.275
9/6/2024,00:12,-1.66591,-0.381881,-1.97186,421.9,-33.53,0.084,0,0.254,0.406,0.333
9/6/2024,00:13,-1.68842,-0.381881,-2.03090,420.8,-34.41,0,0,0.329,0.279,0.247
9/6/2024,00:14,-1.67717,-0.381882,-2.06632,419.8,-35.31,0.061,0,0.318,0.245,0.245
9/6/2024,00:15,-1.68842,-0.381882,-2.07813,418.9,-36.1,0,0,0.313,0.289,0.276
9/6/2024,00:16,-1.68842,-0.381882,-2.16079,417.8,-37,0,0,0.294,0.312,0.259
9/6/2024,00:17,-1.68842,-0.381882,-2.24344,416.9,-37.92,0,0,0.264,0.241,0.24
9/6/2024,00:18,-1.68843,-0.381883,-2.17260,416,-38.63,0,0,0.326,0.287,0.208
9/6/2024,00:19,-1.68843,-0.381883,-2.26706,415.6,-38.95,0,0,0.283,0.286,0.233
9/6/2024,00:20,-1.68843,-0.381883,-2.20802,415,-39.28,0,0,0.299,0.041,0
9/6/2024,00:21,-1.68843,-0.381883,-2.23164,414.6,-39.68,0,0,0.319,0.186,0.186
9/6/2024,00:22,-1.68843,-0.381883,-2.29068,414.4,-39.8,0,0,0.254,0.081,0
9/6/2024,00:23,-1.68843,-0.381883,-2.33791,414.3,-39.8,0,0,0.235,0.052,0
9/6/2024,00:24,-1.68843,-0.381884,-2.18441,414.3,-39.8,0,0,0.318,0,0
9/6/2024,00:25,-1.68843,-0.381884,-2.25526,414.2,-39.8,0,0,0.25,0.097,0
9/6/2024,00:26,-1.68843,-0.381884,-2.29068,413.8,-40.02,0,0,0.285,0.241,0.241
9/6/2024,00:27,-1.68843,-0.381884,-2.20803,413.5,-40.24,0,0,0.299,0.147,0.118
9/6/2024,00:28,-1.68843,-0.381884,-2.23164,413.3,-40.32,0,0,0.277,0.066,0
9/6/2024,00:29,-1.68843,-0.381884,-2.37333,413.3,-40.32,0,0,0.227,0.022,0
9/6/2024,00:30,-1.68843,-0.381884,-2.26707,413.3,-40.33,0,0,0.235,0.056,0.046
9/6/2024,00:31,-1.68843,-0.381884,-2.27887,413.2,-40.33,0,0,0.27,0.075,0.046
9/6/2024,00:32,-1.68843,-0.381884,-2.17261,413.1,-40.32,0,0,0.313,0.067,0
9/6/2024,00:33,-1.68843,-0.381885,-2.20803,413,-40.32,0,0,0.326,0.041,0
9/6/2024,00:34,-1.68843,-0.381885,-2.24345,413,-40.32,0,0,0.294,0,0
9/6/2024,00:35,-1.68843,-0.381885,-2.12538,413,-40.32,0,0,0.317,0.086,0
9/6/2024,00:36,-1.68843,-0.381885,-2.24345,412.8,-40.32,0,0,0.279,0.03,0
9/6/2024,00:37,-1.68843,-0.381885,-2.26707,412.8,-40.32,0,0,0.283,0,0
9/6/2024,00:38,-1.68843,-0.381885,-2.08995,412.8,-40.32,0,0,0.308,0,0
9/6/2024,00:39,-1.68843,-0.381885,-2.18441,412.8,-40.32,0,0,0.318,0.022,0
9/6/2024,00:40,-1.66592,-0.381885,-2.1608,412.8,-40.32,0.084,0,0.334,0.03,0
9/6/2024,00:41,-1.67718,-0.381885,-2.04272,412.7,-40.32,0.061,0,0.299,0.074,0
9/6/2024,00:42,-1.64341,-0.381885,-2.00730,412.7,-40.32,0.115,0,0.294,0.093,0
9/6/2024,00:43,-1.68843,-0.381885,-2.03092,412.5,-40.32,0,0,0.273,0,0
9/6/2024,00:44,-1.64341,-0.381885,-2.00730,412.5,-40.32,0.115,0,0.264,0,0
9/6/2024,00:45,-1.60964,-0.381885,-2.03092,412.6,-40.21,0.143,0,0.288,0.142,0.144
9/6/2024,00:46,-1.55336,-0.381885,-1.99549,412.8,-40.06,0.187,0,0.25,0.19,0.177
9/6/2024,00:47,-1.59838,-0.381885,-1.86561,412.8,-40.07,0.149,0,0.157,0.197,0.194
9/6/2024,00:48,-1.45205,-0.381885,-1.85380,412.8,-40.07,0.233,0,0.15,0.307,0.309
9/6/2024,00:49,-1.53085,-0.381885,-1.84199,412.9,-39.92,0.19,0,0.142,0.184,0.197
9/6/2024,00:50,-1.39577,-0.381885,-1.79476,412.9,-39.84,0.226,0,0.088,0.126,0.096
9/6/2024,00:51,-1.13688,-0.381885,-1.77115,412.8,-40.15,0.185,0,0,0.204,0.226
9/6/2024,00:52,-1.02432,-0.381885,-1.77115,412.8,-40.32,0.061,0,0,0,0
9/6/2024,00:53,-1.14814,-0.381885,-1.77115,412.5,-40.58,0.187,0,0,0.236,0.236
9/6/2024,00:54,-1.29447,-0.381885,-1.80657,412.7,-40.36,0.263,0,0.106,0.096,0.096
9/6/2024,00:55,-1.37326,-0.381885,-1.85380,412.8,-40.27,0.288,0,0.176,0.123,0.123
9/6/2024,00:56,-1.18190,-0.381885,-1.77115,412.8,-40.34,0.19,0,0,0.042,0.064
9/6/2024,00:57,-1.02432,-0.381885,-1.77115,412.6,-40.71,0.061,0,0,0.174,0.186
9/6/2024,00:58,-1.06934,-0.381885,-1.77115,412.6,-40.69,0.126,0,0,0.208,0.208
9/6/2024,00:59,-1.11437,-0.381885,-1.77115,412.8,-40.58,0.178,0,0,0.234,0.25
9/6/2024,01:00,-1.08060,-0.381885,-1.77115,412.6,-40.83,0.135,0,0,0.103,0
