DATE (MM/DD/YYYY),CST,Global Horizontal [W/m^2],Direct Normal [W/m^2],Diffuse Horizontal [W/m^2],Downwelling IR [W/m^2],Pyrgeometer Net [W/m^2],Global (stdev) [W/m^2],Direct (stdev) [W/m^2],Diffuse (stdev) [W/m^2],IR (stdev) [W/m^2],Net (stdev) [W/m^2]
9/4/2024,00:00,-2.01488,-0.381887,-2.75120,440.5,-1.645,0.332,0,0.326,0.32,0.414
9/4/2024,00:01,-1.68845,-0.381888,-2.71578,441.1,-1.999,0,0,0.167,0.213,0.114
9/4/2024,00:02,-1.68845,-0.381889,-2.83387,442,-2.145,0,0,0,0.21,0.165
9/4/2024,00:03,-1.68846,-0.381889,-2.83387,442.8,-2.274,0,0,0,0.413,0.235
9/4/2024,00:04,-1.72223,-0.381890,-2.83387,443.4,-2.076,0.101,0,0,0.114,0.046
9/4/2024,00:05,-1.69972,-0.38189,-2.83388,443.4,-2.18,0.061,0,0,0.157,0.173
9/4/2024,00:06,-1.68846,-0.381890,-2.83388,443.2,-2.585,0,0,0,0.05,0
9/4/2024,00:07,-1.68846,-0.381890,-2.83388,443.4,-2.636,0,0,0,0.132,0.123
9/4/2024,00:08,-1.68846,-0.381890,-2.83388,443.3,-2.972,0,0,0,0.189,0.197
9/4/2024,00:09,-1.68846,-0.38189,-2.83388,443.6,-2.877,0,0,0,0.194,0.173
9/4/2024,00:10,-1.68846,-0.38189,-2.83388,443.6,-2.834,0,0,0,0.268,0.245
9/4/2024,00:11,-1.68846,-0.381890,-2.83387,443.3,-3.101,0,0,0,0.086,0
9/4/2024,00:12,-1.68846,-0.381890,-2.83387,443.4,-3.101,0,0,0,0.076,0
9/4/2024,00:13,-1.68846,-0.381889,-2.83387,443.3,-3.196,0,0,0,0.145,0.141
9/4/2024,00:14,-1.68846,-0.381889,-2.83387,443.3,-3.205,0,0,0,0.143,0.143
9/4/2024,00:15,-1.68845,-0.381889,-2.70398,442.9,-3.575,0,0,0.171,0.1,0.096
