DATE (MM/DD/YYYY),CST,Global Horizontal [W/m^2],Direct Normal [W/m^2],Diffuse Horizontal [W/m^2],Downwelling IR [W/m^2],Pyrgeometer Net [W/m^2],Global (stdev) [W/m^2],Direct (stdev) [W/m^2],Diffuse (stdev) [W/m^2],IR (stdev) [W/m^2],Net (stdev) [W/m^2]
9/2/2024,00:00,-1.53081,-0.381874,-2.19616,430.3,-17.97,0.209,0,0.347,0.193,0.197
9/2/2024,00:01,-1.62086,-0.381876,-2.51497,430.5,-17.51,0.183,0,0.106,0.169,0.188
9/2/2024,00:02,-1.95854,-0.381876,-2.85739,431.6,-15.83,0.307,0,0.157,0.507,0.702
9/2/2024,00:03,-2.46507,-0.381877,-3.49500,432.3,-14.33,0.155,0,0.177,0.213,0.399
9/2/2024,00:04,-2.70145,-0.496441,-3.54223,432.8,-12.87,0,0.245,0,0.186,0.419
9/2/2024,00:05,-2.75773,-1.13291,-4.19165,432.8,-11.82,0.126,0.069,0.161,0.34,0.148
9/2/2024,00:06,-3.21924,-1.14564,-4.2507,432.3,-11.23,0.242,0,0,0.188,0.208
9/2/2024,00:07,-3.33182,-1.14565,-4.25073,432.2,-10.51,0.115,0,0,0.157,0.215
9/2/2024,00:08,-3.37686,-1.14565,-4.25074,431.9,-10.16,0,0,0,0.193,0.178
9/2/2024,00:09,-3.37687,-1.14565,-4.20352,431.6,-9.78,0,0,0.12,0.145,0.096
9/2/2024,00:10,-3.34311,-1.23476,-3.95557,431.2,-9.56,0.101,0.162,0.304,0.185,0.258
9/2/2024,00:11,-2.90412,-1.14566,-4.05004,431.5,-8.95,0.224,0,0.27,0.178,0.205
9/2/2024,00:12,-2.70151,-1.14566,-4.23897,431.3,-8.79,0,0,0.064,0.098,0
9/2/2024,00:13,-2.70151,-1.14566,-4.25078,431.2,-8.64,0,0,0,0.168,0.208
9/2/2024,00:14,-2.70152,-1.14566,-4.25079,431.4,-8.1,0,0,0,0.22,0.315
9/2/2024,00:15,-2.70152,-1.14566,-4.25079,431.6,-7.667,0,0,0,0.167,0.225
9/2/2024,00:16,-2.70152,-1.14566,-4.22717,431.9,-7.211,0,0,0.088,0.077,0.078
9/2/2024,00:17,-2.70152,-1.14566,-4.15633,432,-7.099,0,0,0.181,0.192,0.186
