DATE (MM/DD/YYYY),CST,Global Horizontal [W/m^2],Direct Normal [W/m^2],Diffuse Horizontal [W/m^2],Downwelling IR [W/m^2],Pyrgeometer Net [W/m^2],Global (stdev) [W/m^2],Direct (stdev) [W/m^2],Diffuse (stdev) [W/m^2],IR (stdev) [W/m^2],Net (stdev) [W/m^2]
9/8/2024,00:00,-1.68890,-0.381990,-2.48029,370,-68.34,0,0,0,0.161,0.139
9/8/2024,00:01,-1.68891,-0.381993,-2.48031,369.7,-68.65,0,0,0,0.137,0.185
9/8/2024,00:02,-1.68892,-0.381994,-2.48032,369.7,-68.77,0,0,0,0.043,0
9/8/2024,00:03,-1.68893,-0.381996,-2.48033,369.7,-68.82,0,0,0,0.103,0.103
9/8/2024,00:04,-1.68893,-0.381997,-2.48034,369.4,-69.12,0,0,0,0.215,0.216
9/8/2024,00:05,-1.68894,-0.381999,-2.48035,369.3,-69.26,0,0,0,0.101,0.078
9/8/2024,00:06,-1.68894,-0.382000,-2.48035,369.4,-69.27,0,0,0,0.106,0.065
9/8/2024,00:07,-1.68895,-0.382001,-2.48036,369.3,-69.29,0,0,0,0.094,0
9/8/2024,00:08,-1.68895,-0.382002,-2.48037,369.3,-69.24,0,0,0,0.098,0.096
9/8/2024,00:09,-1.68896,-0.382003,-2.48038,369.2,-69.24,0,0,0,0.096,0.096
9/8/2024,00:10,-1.68896,-0.382004,-2.48038,369.3,-69.23,0,0,0,0.204,0.205
9/8/2024,00:11,-1.68897,-0.382005,-2.48039,369.1,-69.44,0,0,0,0.196,0.196
9/8/2024,00:12,-1.68897,-0.382006,-2.48039,368.9,-69.8,0,0,0,0.101,0
9/8/2024,00:13,-1.68897,-0.382007,-2.48040,369,-69.8,0,0,0,0.047,0
9/8/2024,00:14,-1.68898,-0.382007,-2.48040,368.9,-69.8,0,0,0,0.001,0
9/8/2024,00:15,-1.68898,-0.382008,-2.48041,368.9,-69.8,0,0,0,0.043,0
9/8/2024,00:16,-1.68898,-0.382008,-2.48041,368.8,-69.8,0,0,0,0.095,0
9/8/2024,00:17,-1.68898,-0.382009,-2.48041,368.6,-69.93,0,0,0,0.186,0.186
9/8/2024,00:18,-1.68899,-0.382010,-2.48042,368.2,-70.31,0,0,0,0.047,0.046
9/8/2024,00:19,-1.68899,-0.382010,-2.48042,368.2,-70.32,0,0,0,0,0
9/8/2024,00:20,-1.68899,-0.382010,-2.48042,368,-70.26,0,0,0,0.114,0.109
9/8/2024,00:21,-1.68899,-0.382010,-2.48042,367.9,-70.08,0,0,0,0.123,0.132
9/8/2024,00:22,-1.68899,-0.382011,-2.48043,367.9,-69.87,0,0,0,0.097,0.132
