DATE (MM/DD/YYYY),CST,Global Horizontal [W/m^2],Direct Normal [W/m^2],Diffuse Horizontal [W/m^2],Downwelling IR [W/m^2],Pyrgeometer Net [W/m^2],Global (stdev) [W/m^2],Direct (stdev) [W/m^2],Diffuse (stdev) [W/m^2],IR (stdev) [W/m^2],Net (stdev) [W/m^2]
8/30/2024,00:00,-1.63188,-0.381820,-1.86529,417.6,-42.18,0.126,0,0.223,0.144,0.144
8/30/2024,00:01,-1.59811,-0.381820,-2.04238,417.7,-42.06,0.194,0,0.285,0.197,0.197
8/30/2024,00:02,-1.64313,-0.381820,-2.00696,417.9,-41.91,0.115,0,0.308,0.14,0.14
8/30/2024,00:03,-1.68815,-0.381820,-2.06599,417.7,-41.86,0,0,0.29,0.029,0
8/30/2024,00:04,-1.67690,-0.381820,-2.16044,417.9,-41.71,0.061,0,0.334,0.221,0.208
8/30/2024,00:05,-1.67690,-0.381820,-2.20766,417.8,-41.51,0.061,0,0.313,0.182,0.205
8/30/2024,00:06,-1.66564,-0.381820,-1.86529,417.8,-41.34,0.084,0,0.203,0.069,0
8/30/2024,00:07,-1.66564,-0.381820,-2.14863,418,-41.08,0.084,0,0.341,0.244,0.254
8/30/2024,00:08,-1.68815,-0.381820,-2.13682,418.1,-40.83,0,0,0.323,0.104,0
8/30/2024,00:09,-1.67690,-0.381820,-1.95974,418,-40.83,0.061,0,0.254,0,0
8/30/2024,00:10,-1.57561,-0.381820,-1.93613,417.8,-41.04,0.201,0,0.285,0.25,0.25
8/30/2024,00:11,-1.57561,-0.381820,-2.08960,417.6,-41.3,0.181,0,0.294,0.096,0.096
8/30/2024,00:12,-1.55310,-0.381820,-2.00696,417.5,-41.34,0.24,0,0.308,0,0
8/30/2024,00:13,-1.60937,-0.381820,-2.05418,417.5,-41.36,0.189,0,0.295,0.064,0.064
8/30/2024,00:14,-1.40679,-0.381820,-1.88891,417.4,-41.45,0.248,0,0.211,0.122,0.127
