DATE (MM/DD/YYYY),CST,Global Horizontal [W/m^2],Direct Normal [W/m^2],Diffuse Horizontal [W/m^2],Downwelling IR [W/m^2],Pyrgeometer Net [W/m^2],Global (stdev) [W/m^2],Direct (stdev) [W/m^2],Diffuse (stdev) [W/m^2],IR (stdev) [W/m^2],Net (stdev) [W/m^2]
9/14/2024,00:00,-1.68815,-0.381820,-2.00696,412.5,-47.13,0,0,0.294,0.123,0.127
9/14/2024,00:01,-1.68815,-0.381820,-2.16044,412.4,-47.2,0,0,0.294,0.126,0.122
9/14/2024,00:02,-1.68815,-0.381820,-2.30210,412.2,-47.42,0,0,0.286,0.128,0.129
9/14/2024,00:03,-1.68815,-0.381820,-2.19585,412.2,-47.43,0,0,0.335,0.147,0.144
9/14/2024,00:04,-1.68815,-0.381820,-2.07780,412,-47.55,0,0,0.313,0.002,0
9/14/2024,00:05,-1.66564,-0.381820,-2.05418,412.1,-47.55,0.084,0,0.309,0.04,0
9/14/2024,00:06,-1.62062,-0.381820,-1.94793,412,-47.55,0.135,0,0.271,0.001,0
9/14/2024,00:07,-1.68815,-0.381820,-2.44377,412,-47.55,0,0,0.106,0,0
9/14/2024,00:08,-1.68815,-0.381820,-2.21946,411.9,-47.55,0,0,0.273,0.097,0
9/14/2024,00:09,-1.68815,-0.381820,-2.19585,412,-47.29,0,0,0.309,0.153,0.149
9/14/2024,00:10,-1.68815,-0.381820,-2.33752,412.1,-47.08,0,0,0.235,0.109,0.103
9/14/2024,00:11,-1.68815,-0.381820,-2.20766,412.1,-46.99,0,0,0.285,0.096,0.096
9/14/2024,00:12,-1.68815,-0.381820,-2.12502,412.4,-46.63,0,0,0.303,0.224,0.197
9/14/2024,00:13,-1.68815,-0.381820,-2.08960,412.3,-46.53,0,0,0.28,0.069,0.064
9/14/2024,00:14,-1.68815,-0.381820,-2.33752,412.4,-46.5,0,0,0.196,0.064,0.064
9/14/2024,00:15,-1.67690,-0.381820,-2.33752,412.6,-46.25,0.061,0,0.216,0.25,0.25
9/14/2024,00:16,-1.67690,-0.381820,-2.39655,412.4,-46.49,0.061,0,0.198,0.102,0.102
9/14/2024,00:17,-1.67690,-0.381820,-2.13682,412.3,-46.51,0.061,0,0.296,0,0
9/14/2024,00:18,-1.68815,-0.381820,-2.32572,412.3,-46.51,0,0,0.269,0.021,0
9/14/2024,00:19,-1.68815,-0.381820,-2.20766,412.3,-46.51,0,0,0.285,0,0
9/14/2024,00:20,-1.62062,-0.381820,-2.03057,412.3,-46.52,0.135,0,0.273,0.046,0.046
9/14/2024,00:21,-1.68815,-0.381820,-2.34933,411.9,-47,0,0,0.233,0.088,0.088
9/14/2024,00:22,-1.68815,-0.381820,-2.26669,411.6,-47.3,0,0,0.252,0.17,0.17
9/14/2024,00:23,-1.68815,-0.381820,-2.17224,411.5,-47.24,0,0,0.285,0.214,0.19
9/14/2024,00:24,-1.68815,-0.381820,-2.13682,411.4,-47.15,0,0,0.25,0.132,0.129
9/14/2024,00:25,-1.68815,-0.381820,-1.92432,411.4,-47.01,0,0,0.269,0.1,0.064
9/14/2024,00:26,-1.68815,-0.381820,-2.31391,411.4,-47.03,0,0,0.27,0,0
9/14/2024,00:27,-1.68815,-0.381820,-2.29030,411.3,-47.12,0,0,0.27,0.168,0.168
9/14/2024,00:28,-1.68815,-0.381820,-2.12502,410.8,-47.55,0,0,0.274,0,0
9/14/2024,00:29,-1.68815,-0.381820,-2.04238,410.8,-47.55,0,0,0.253,0,0
9/14/2024,00:30,-1.67690,-0.381820,-2.32572,411.1,-47.55,0.061,0,0.253,0.071,0
9/14/2024,00:31,-1.68815,-0.381820,-2.36113,411.2,-47.55,0,0,0.211,0.081,0
9/14/2024,00:32,-1.66564,-0.381820,-2.20766,411.2,-47.62,0.084,0,0.313,0.114,0.118
9/14/2024,00:33,-1.68815,-0.381820,-2.11321,411.3,-47.57,0,0,0.31,0.088,0.078
9/14/2024,00:34,-1.68815,-0.381820,-2.05418,411.1,-47.55,0,0,0.28,0.084,0
9/14/2024,00:35,-1.68815,-0.381820,-2.05418,411.1,-47.55,0,0,0.295,0.021,0
9/14/2024,00:36,-1.68815,-0.381820,-2.19585,410.7,-47.88,0,0,0.309,0.151,0.151
9/14/2024,00:37,-1.68815,-0.381820,-2.03057,410.8,-47.82,0,0,0.316,0.163,0.163
9/14/2024,00:38,-1.68815,-0.381820,-2.30210,410.5,-48.05,0,0,0.255,0.109,0.046
9/14/2024,00:39,-1.68815,-0.381820,-2.34933,410.4,-48.05,0,0,0.171,0.096,0.064
9/14/2024,00:40,-1.68815,-0.381820,-1.98335,410.5,-47.88,0,0,0.252,0.132,0.136
9/14/2024,00:41,-1.68815,-0.381820,-2.24308,410.3,-48.05,0,0,0.248,0.069,0.064
9/14/2024,00:42,-1.68815,-0.381820,-1.98335,410.4,-48.06,0,0,0.283,0.101,0
9/14/2024,00:43,-1.68815,-0.381820,-2.24308,410.2,-48.21,0,0,0.294,0.219,0.159
9/14/2024,00:44,-1.68815,-0.381820,-2.31391,409.9,-48.46,0,0,0.219,0.186,0.186
9/14/2024,00:45,-1.68815,-0.381820,-2.26669,410.2,-48.14,0,0,0.268,0.129,0.118
9/14/2024,00:46,-1.68815,-0.381820,-2.30210,409.8,-48.35,0,0,0.271,0.238,0.215
9/14/2024,00:47,-1.68815,-0.381820,-2.34933,409.8,-48.27,0,0,0.25,0.184,0.235
9/14/2024,00:48,-1.68815,-0.381820,-2.37294,409.8,-48.09,0,0,0.208,0.082,0.078
9/14/2024,00:49,-1.68815,-0.381820,-2.44377,409.8,-48.06,0,0,0.106,0.036,0
9/14/2024,00:50,-1.68815,-0.381820,-2.29030,409.7,-47.99,0,0,0.3,0.146,0.151
9/14/2024,00:51,-1.68815,-0.381820,-2.17224,410.1,-47.55,0,0,0.3,0,0
9/14/2024,00:52,-1.68815,-0.381820,-2.43197,410.1,-47.55,0,0,0.151,0.021,0
9/14/2024,00:53,-1.68815,-0.381820,-2.08960,410.1,-47.46,0,0,0.294,0.144,0.122
9/14/2024,00:54,-1.68815,-0.381820,-2.01877,410.2,-47.24,0,0,0.291,0.203,0.19
9/14/2024,00:55,-1.68815,-0.381820,-2.21946,410.3,-47.12,0,0,0.316,0.121,0.125
9/14/2024,00:56,-1.67690,-0.381820,-2.10141,410.3,-47.16,0.061,0,0.288,0.138,0.129
9/14/2024,00:57,-1.68815,-0.381820,-2.31391,410,-47.44,0,0,0.27,0.149,0.143
9/14/2024,00:58,-1.68815,-0.381820,-2.16044,409.7,-47.55,0,0,0.294,0.101,0
9/14/2024,00:59,-1.68815,-0.381820,-2.10141,409.8,-47.42,0,0,0.316,0.129,0.129
9/14/2024,01:00,-1.68815,-0.381820,-2.18405,409.8,-47.55,0,0,0.304,0.092,0
9/14/2024,01:01,-1.68815,-0.381820,-2.40835,409.9,-47.55,0,0,0.142,0.036,0
9/14/2024,01:02,-1.68815,-0.381820,-2.43197,409.8,-47.55,0,0,0.12,0.088,0
9/14/2024,01:03,-1.67690,-0.381820,-2.24308,409.8,-47.58,0.061,0,0.264,0.101,0.088
9/14/2024,01:04,-1.68815,-0.381820,-2.18405,409.9,-47.52,0,0,0.26,0.078,0.078
9/14/2024,01:05,-1.66564,-0.381820,-2.07780,410.1,-47.31,0.084,0,0.3,0.156,0.148
9/14/2024,01:06,-1.63188,-0.381820,-2.00696,410.2,-47.27,0.126,0,0.308,0.126,0.064
9/14/2024,01:07,-1.68815,-0.381820,-2.29030,410.6,-47.02,0,0,0.254,0.052,0.046
9/14/2024,01:08,-1.68815,-0.381820,-2.21946,410.9,-46.69,0,0,0.288,0.156,0.151
9/14/2024,01:09,-1.64313,-0.381820,-1.95974,411,-46.51,0.115,0,0.254,0.085,0
9/14/2024,01:10,-1.67690,-0.381820,-2.00696,411,-46.51,0.061,0,0.279,0.087,0
9/14/2024,01:11,-1.62062,-0.381820,-1.98335,411.2,-46.51,0.135,0,0.311,0.021,0
9/14/2024,01:12,-1.68815,-0.381820,-2.07780,411.3,-46.38,0,0,0.3,0.17,0.173
9/14/2024,01:13,-1.64313,-0.381820,-1.94793,411.5,-46.06,0.115,0,0.255,0.169,0.109
9/14/2024,01:14,-1.64313,-0.381820,-2.01877,411.3,-46.11,0.115,0,0.332,0.13,0.128
